,location_name,year,Average,cause_name,metric_name,val_y,upper,lower
5893,Yemen,1996,83.40566686344317,Other malignant neoplasms,Number,164.6282664650951,242.7443749126803,99.6696778750624
5894,Yemen,1996,83.40566686344317,Esophageal cancer,Number,67.9805557408111,110.40766698205968,20.80186344534164
5895,Yemen,1996,83.40566686344317,Stomach cancer,Number,280.3361174908798,408.0301692364154,172.23622427384302
5896,Yemen,1996,83.40566686344317,Liver cancer,Number,40.91664447694185,63.89261322925757,23.146773168748123
5897,Oman,1995,16.088829750251083,Malignant skin melanoma,Number,1.773283497304757,2.602542050337019,1.1139965775528236
5898,Oman,1995,16.088829750251083,Non-melanoma skin cancer,Number,0.2650158679150582,0.3902566641326961,0.1699189047869449
5899,Oman,1995,16.088829750251083,Ovarian cancer,Number,7.308071238469928,12.05659557160352,3.8468315750381934
5900,Oman,1995,16.088829750251083,Testicular cancer,Number,3.252940117929032,8.283944351550657,1.0913663861069467
5901,Oman,1995,16.088829750251083,Kidney cancer,Number,8.198731530154992,12.194087096504685,5.040379973827984
5902,Oman,1995,16.088829750251083,Bladder cancer,Number,17.328226129757997,24.683659112853668,11.545077466820562
5903,Oman,1995,16.088829750251083,Brain and central nervous system cancer,Number,13.202349935129568,19.27069717786391,8.417122805325963
5904,Oman,1995,16.088829750251083,Thyroid cancer,Number,12.619942555129969,19.58987256051154,7.35475638977383
5905,Oman,1995,16.088829750251083,Mesothelioma,Number,1.53209584558452,2.579237535962557,0.9248822209623684
5906,Oman,1995,16.088829750251083,Hodgkin lymphoma,Number,8.896381576370748,13.477265656297298,5.253221181066763
5907,Oman,1995,16.088829750251083,Non-Hodgkin lymphoma,Number,28.043794399532946,40.51552148004669,18.18560728122713
5908,Oman,1995,16.088829750251083,Multiple myeloma,Number,6.812875514940039,10.59392300447592,4.166090598366779
5909,Oman,1995,16.088829750251083,Leukemia,Number,43.94627766418539,63.07884141799112,28.6733067014214
5910,Oman,1995,16.088829750251083,Other neoplasms,Number,9.722699607007652,14.836891159971795,5.857482900232009
5911,Oman,1996,17.28634596400163,Uterine cancer,Number,4.769979348072453,7.510090943132316,2.9794168357179003
5912,Oman,1996,17.28634596400163,Prostate cancer,Number,46.90986990724622,69.97800976882225,30.784816349035324
5913,Oman,1996,17.28634596400163,Colon and rectum cancer,Number,39.40245085240866,54.465467489275525,26.515772045950143
5914,Oman,1996,17.28634596400163,Lip and oral cavity cancer,Number,9.516788203118727,13.636063377766378,6.2908210992204605
5915,Libya,1996,45.22963841567259,Esophageal cancer,Number,6.966867460103967,9.77592649577028,4.2698044766611725
5916,United Arab Emirates,1996,21.64631383685292,Esophageal cancer,Number,15.03309091670558,24.835857542044486,4.370690716983884
5917,United Arab Emirates,1996,21.64631383685292,Stomach cancer,Number,17.536685414955283,24.101892261480767,11.894538459766768
5918,United Arab Emirates,1996,21.64631383685292,Liver cancer,Number,7.414730163629052,13.936045876357852,3.730904816455271
5919,Yemen,1993,76.61018123538666,Lip and oral cavity cancer,Number,24.107317822806667,39.52185758999438,13.66502966713781
5920,Yemen,1993,76.61018123538666,Nasopharynx cancer,Number,13.765791738094768,21.756824960452374,8.081327811957257
5921,Yemen,1993,76.61018123538666,Other pharynx cancer,Number,4.213825064312752,6.886324946007271,2.4269305581583143
5922,Yemen,1993,76.61018123538666,Gallbladder and biliary tract cancer,Number,20.295353209957334,31.735271823848173,11.596458649218675
5923,Yemen,1993,76.61018123538666,Pancreatic cancer,Number,13.670248494727286,23.690097851422003,6.7942275921363136
5924,Yemen,1993,76.61018123538666,Malignant skin melanoma,Number,6.81967964262082,14.958738779418251,2.428069580937445
5925,Yemen,1993,76.61018123538666,Non-melanoma skin cancer,Number,1.1581999347491736,1.7523150649718644,0.735069740562468
5926,Yemen,1993,76.61018123538666,Ovarian cancer,Number,23.358451597591937,96.3710959295124,6.495790449758458
5927,Yemen,1993,76.61018123538666,Testicular cancer,Number,2.9551713277184173,7.891460367915612,1.034634125762873
5928,Yemen,1993,76.61018123538666,Kidney cancer,Number,30.34556115342779,50.37702234463512,16.59066954209593
5929,Yemen,1993,76.61018123538666,Bladder cancer,Number,72.03194232125422,121.47341722029005,35.46937565854318
5930,Yemen,1993,76.61018123538666,Brain and central nervous system cancer,Number,98.11017929238449,202.5168633879696,45.69386624329358
5931,Yemen,1993,76.61018123538666,Thyroid cancer,Number,34.11916168882243,58.26685363225377,17.09972065440932
5932,Egypt,1995,468.1000186003757,Esophageal cancer,Number,122.57924539849763,167.36496056914015,85.04956784753577
5933,Egypt,1995,468.1000186003757,Stomach cancer,Number,403.760865338049,534.5922878503958,285.5354289133084
5934,Egypt,1995,468.1000186003757,Liver cancer,Number,1211.1996986768356,1631.755162888643,844.3953291370232
5935,Egypt,1995,468.1000186003757,Larynx cancer,Number,201.727409099355,277.4459053487802,139.35542967155453
5936,Egypt,1995,468.1000186003757,"Tracheal, bronchus, and lung cancer",Number,586.548271316173,803.3350885202414,400.7855767387292
5937,Egypt,1995,468.1000186003757,Breast cancer,Number,2216.5575499817523,3058.16149679859,1542.555307546266
5938,Egypt,1995,468.1000186003757,Cervical cancer,Number,205.9070749649129,289.991336027034,136.2418818790127
5939,Egypt,1995,468.1000186003757,Uterine cancer,Number,205.930172451483,295.3736714066748,122.70356762580442
5940,Egypt,1995,468.1000186003757,Prostate cancer,Number,622.49357239247,854.2309952762234,428.195110923626
5941,Egypt,1995,468.1000186003757,Colon and rectum cancer,Number,901.8015116362396,1208.3288542870566,632.4629178130363
5942,Egypt,1995,468.1000186003757,Lip and oral cavity cancer,Number,111.17302196223088,147.55304855481367,79.17136712669921
5943,Egypt,1995,468.1000186003757,Nasopharynx cancer,Number,25.31475754768693,33.671185286696605,17.655014006120776
5944,Bahrain,1996,5.7784482500083065,Brain and central nervous system cancer,Number,3.8450955056505705,5.43444235281959,2.4413566923926027
5945,Somalia,1995,53.96234981305134,Larynx cancer,Number,28.57881242063653,44.14598932365243,17.44096014111353
